Start: 2025-04-04T13:10:23
ms	X1(V)	Y1(V)	I1(V)	X2(V)	Y2(V)	I2(V)	RX1(V)	RY1(V)	RX2(V)	RY2(V)
2216	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2221	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.05	5.05
2226	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.05	5.05
2231	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2245	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2250	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2255	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2269	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.06	5.05
2279	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2289	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2294	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2346	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2356	0.006	0.008	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2366	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.06
2376	0.004	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2381	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.06
2433	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2443	0.006	0.008	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2453	0.004	0.006	0.04	0.006	0.004	0.02	4.39	5.13	5.05	5.05
2463	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2468	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2490	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2500	0.008	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.06	5.05
2510	0.004	0.006	0.03	0.004	0.004	0.02	4.39	5.13	5.06	5.05
2520	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.12	5.05	5.05
2530	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2540	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2550	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.06	5.05
2555	0.004	0.006	0.03	0.004	0.004	0.02	4.39	5.13	5.05	5.05
2560	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2565	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2577	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2587	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2597	0.004	0.006	0.03	0.004	0.004	0.02	4.39	5.13	5.06	5.05
2607	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2617	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2627	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2637	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2642	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.06	5.05
2664	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2674	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2684	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2694	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2704	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.06	5.05
2714	0.006	0.008	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2724	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2729	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2752	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2762	0.004	0.004	0.03	0.004	0.004	0.02	4.39	5.13	5.06	5.06
2772	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.06	5.05
2782	0.006	0.006	0.04	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2792	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2802	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2812	0.006	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.06	5.05
2817	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.06	5.05
2829	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2839	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2849	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2859	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2869	0.006	0.008	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2879	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2889	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2899	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2904	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2909	0.006	0.006	0.03	0.006	0.006	0.03	4.39	5.13	5.06	5.05
2914	0.006	0.006	0.04	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2919	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2924	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2929	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2934	0.006	0.008	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
2939	0.006	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.05	5.05
2944	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2949	0.006	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.05	5.05
2960	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
2970	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.05	5.05
2980	0.004	0.004	0.03	0.004	0.004	0.02	4.39	5.13	5.06	5.05
2990	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
3000	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
3010	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
3020	0.008	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.05	5.05
3030	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.06	5.05
3035	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
3106	0.006	0.006	0.03	0.006	0.006	0.02	4.40	5.13	5.06	5.06
3116	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
3121	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
3126	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.06	5.05
3131	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
3136	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
3141	0.006	0.006	0.04	0.006	0.006	0.02	4.39	5.13	5.05	5.05
3146	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
